Account_Number,Forename,surname,e-mail_Address,Character_CreationDate,Character_Expiry_Date,Character_Name,Character_Type,Level,ExperiencePoints,Max_Health,Health,AttackinScore,DefenceScore,StealthScore,ManaScore,Money_bank,Money_wallet
15468336,Jones,Susan,sj56@gmail.com,02-Jan-2022,,juju97,Warrior,12,12475,1000,996,85,23,17,,4273.95,351.00
35482956,Turker,Uraz,u.turker@lancaster.ac.uk,05-Mar-2022,,Uraz-The-Magnificent,Mage,34,34925,1200,1094,34,49,21,64,11397.00,700.00
64345236,Ricki,Boswell-Challand,r.boswell-challand@lancaster.ac.uk,24-Apr-2022,,Calvin,Merchant,18,21765,950,950,54,53,36,,34950.00,3705.00
64345236,Ricki,Boswell-Challand,r.boswell-challand@lancaster.ac.uk,13-May2022,,Hobbes,Warrior,95,95678,1500,1500,88,79,84,,0,0
15468336,Jones,Susan,sj56@gmail.com,15-Mar-2022,,SneakySue,Thief,7,7201,900,856,37,12,56,,11730.34,295.00
54387937,Schmidt,Johan,jjs46@hotmail.com,08-Jan2023,,SpacemanSpiff,Mage,3,1085,250,227,09,19,8,31,548.00,102.00
15468336,Jones,Susan,sj56@gmail.com,14-Jul-2022,19-Aug-2022,DarkMage,Mage,3,2012,250,250,12,17,9,21,0.00,0.00
48128292,Lillie,Lewis,Lillie.Lewis@gmail.com,19-May-2025,15-Aug-2025,jumpyRuffs4,Warriour,29,8184,8327,7395,942,720,573,151,445,119
43779863,James,Hersh,James.Hersh@yahoomail.com,26-Aug-2025,15-Sep-2025,jumpyFlamingo5,Theif,32,6779,8800,5437,903,460,204,989,907,186
21970335,Vera,Giordano,Vera.Giordano@pm.me,25-Jun-2023,31-Oct-2024,resolvedCrane4,Merchant,64,4113,9148,3581,530,555,758,978,509,265
64345236,Ricki,Boswell-Challand,r.boswell-challand@lancaster.ac.uk,05-Feb-2025,18-Sep-2025,wrathfulWidgeon1,Mage,21,5868,6446,3410,681,637,599,300,212,954
64345236,Ricki,Boswell-Challand,r.boswell-challand@lancaster.ac.uk,30-Mar-2023,30-Apr-2023,decimalJaguar2,Merchant,15,3981,9911,4892,479,467,195,159,411,495
15468336,Jones,Susan,sj56@gmail.com,16-Apr-2024,04-Aug-2025,soreSyrup1,Theif,65,3336,8949,5385,926,269,701,797,396,151
43779863,James,Hersh,James.Hersh@yahoomail.com,17-Aug-2023,26-Feb-2025,thriftyDoughnut4,Mage,16,8944,6016,3439,329,973,130,517,878,818
84416992,Robert,Rutski,Robert.Rutski@yahoomail.com,13-Jul-2024,06-Oct-2024,crushedPear2,Theif,62,1602,6963,5339,942,348,327,573,985,923
48128292,Lillie,Lewis,Lillie.Lewis@gmail.com,15-Jan-2025,30-Jun-2025,alertRice5,Theif,83,6741,6948,1831,290,967,615,696,321,876
54387937,Schmidt,Johan,jjs46@hotmail.com,17-Jan-2024,19-Jun-2024,lyingPaella5,Merchant,50,8128,4760,1417,232,164,877,348,433,868
15468336,Jones,Susan,sj56@gmail.com,16-Jun-2025,22-Jun-2025,needyPolenta1,Theif,70,6167,9876,9797,883,209,1000,716,229,333
15468336,Jones,Susan,sj56@gmail.com,07-Jun-2023,10-Nov-2023,fondHare4,Warriour,97,9414,1724,968,665,448,679,609,821,150
54387937,Schmidt,Johan,jjs46@hotmail.com,25-Oct-2024,26-Jun-2025,cheerfulCrackers1,Mage,84,9078,9054,767,932,337,365,986,730,815
84416992,Robert,Rutski,Robert.Rutski@yahoomail.com,02-Jul-2023,06-Apr-2024,pleasedFalcon4,Merchant,81,1716,8083,3713,918,739,781,256,664,647
23923144,Marlys,Ferrigno,Marlys.Ferrigno@yahoomail.com,29-Feb-2024,09-Dec-2024,amusedMagpie2,Mage,73,8715,4746,1590,552,456,485,573,502,176
84416992,Robert,Rutski,Robert.Rutski@yahoomail.com,05-Jun-2025,08-Aug-2025,madZebra3,Theif,100,1269,3272,1469,884,272,474,968,335,675
23923144,Marlys,Ferrigno,Marlys.Ferrigno@yahoomail.com,19-Jun-2025,01-Aug-2025,vengefulCordial3,Merchant,53,9689,1019,519,913,767,459,760,1000,512
23923144,Marlys,Ferrigno,Marlys.Ferrigno@yahoomail.com,14-Aug-2025,09-Sep-2025,forsakenOil9,Theif,17,2738,6134,2365,589,602,448,696,843,563
64345236,Ricki,Boswell-Challand,r.boswell-challand@lancaster.ac.uk,06-Jun-2025,26-Jun-2025,sugaryCheetah3,Mage,77,5049,5735,2427,260,411,805,879,107,215
98162442,Edward,Day,Edward.Day@gmail.com,28-Jun-2023,30-May-2025,zestyCheese9,Theif,7,7778,5910,940,175,565,949,707,798,843
23923144,Marlys,Ferrigno,Marlys.Ferrigno@yahoomail.com,23-Mar-2023,14-May-2024,soreBasmati4,Warriour,59,8620,6567,5526,640,647,715,475,537,602
43779863,James,Hersh,James.Hersh@yahoomail.com,29-Jul-2023,15-Sep-2025,unhappyPie7,Theif,1,8383,4984,2685,647,995,262,826,117,566
23923144,Marlys,Ferrigno,Marlys.Ferrigno@yahoomail.com,07-Apr-2023,10-Feb-2025,exactingRaisins9,Merchant,87,1300,2407,549,294,795,755,803,799,566
64345236,Ricki,Boswell-Challand,r.boswell-challand@lancaster.ac.uk,17-Feb-2025,24-Feb-2025,pitifulLion2,Merchant,25,3650,5036,1698,990,487,684,112,111,730
36591412,Sheldon,Thomas,Sheldon.Thomas@pm.me,08-Jan-2025,08-Jul-2025,contentMare8,Merchant,96,8122,4668,2927,857,450,379,815,280,676
43779863,James,Hersh,James.Hersh@yahoomail.com,19-Feb-2024,09-Mar-2025,jubilantQuiche5,Warriour,57,7207,9013,4379,549,459,583,929,662,353
15468336,Jones,Susan,sj56@gmail.com,19-Nov-2023,19-Nov-2024,madCrackers0,Mage,29,2956,3805,755,286,819,486,661,750,724
98162442,Edward,Day,Edward.Day@gmail.com,25-Dec-2024,03-May-2025,pluckyCaribou1,Warriour,62,1780,7951,2100,876,189,278,281,792,787
35482956,Turker,Uraz,u.turker@lancaster.ac.uk,04-Sep-2024,26-Mar-2025,peskyEagle5,Mage,67,8977,2590,2222,376,269,320,580,276,752
84416992,Robert,Rutski,Robert.Rutski@yahoomail.com,10-Sep-2024,19-Jul-2025,ashamedDingo9,Warriour,60,6517,8910,7799,297,313,317,575,658,927
54387937,Schmidt,Johan,jjs46@hotmail.com,06-Sep-2025,16-Sep-2025,selfishCur4,Theif,85,7534,3574,698,998,935,785,421,971,697
84416992,Robert,Rutski,Robert.Rutski@yahoomail.com,01-Aug-2024,15-Apr-2025,thriftyWidgeon0,Merchant,51,8907,1274,890,876,953,230,406,685,857
43779863,James,Hersh,James.Hersh@yahoomail.com,20-Jul-2024,08-Jul-2025,needyOryx7,Theif,75,5502,7819,5760,848,798,284,452,328,701
48128292,Lillie,Lewis,Lillie.Lewis@gmail.com,11-Apr-2025,13-Sep-2025,excitedSheep5,Mage,1,1671,5218,2152,343,589,322,402,458,364
36591412,Sheldon,Thomas,Sheldon.Thomas@pm.me,30-Dec-2024,31-Jul-2025,selfishThrush5,Merchant,89,1394,7530,7267,226,275,304,987,938,216
64345236,Ricki,Boswell-Challand,r.boswell-challand@lancaster.ac.uk,14-Sep-2025,19-Sep-2025,mercifulFerret6,Merchant,66,7692,1550,1282,674,325,238,386,720,523
84416992,Robert,Rutski,Robert.Rutski@yahoomail.com,01-Aug-2023,19-Jul-2025,lyingJaguar0,Warriour,72,8967,8623,7840,781,590,864,360,676,375
48128292,Lillie,Lewis,Lillie.Lewis@gmail.com,07-Jan-2024,19-Mar-2024,thrilledPoultry6,Theif,46,5093,2380,647,330,693,795,903,662,938
86450620,Maurice,Berger,Maurice.Berger@pm.me,28-Jun-2025,16-Aug-2025,thrilledTermite8,Warriour,22,6124,9911,3406,990,912,671,446,274,430
23923144,Marlys,Ferrigno,Marlys.Ferrigno@yahoomail.com,29-Mar-2024,09-Dec-2024,ashamedSeahorse5,Mage,72,5466,2958,1333,371,215,976,730,528,448
